userName,at,score,content
zainun abidin,6/30/2024 22:10,5,Terimakasih
Adek Charissa,6/30/2024 11:18,5,bermanfaat
Enggome Laturang,6/29/2024 22:23,5,"Bagus dan kalau bisa transfer ke bank lain biayanya lebih murah, jangan sampai 6500 biar bisa bersaing dengan bank lain. Aplikasi sudah lumayan bagus dan Bisa di tingkatkan lagi. Nominal isi pulsa dikurangi lagi jangan hanya 25 Ribu yg terkecil, maunya ada 10, 15, 20, 30, 40, 50, dan lain lain"
Fahrol Roxi,6/29/2024 1:45,2,Aku kok gak bisa daftar sendiri ya.. Apa harus daftar gmail dulu di bank aceh nya. Soalnya saat bikin kartu ATM kemarin gak di minta gmail saya. Mohon penjelasannya
celeng calaeng2,6/28/2024 19:58,4,Mantap
Ade Pahlawan,6/28/2024 16:44,5,Awesome
Wardiah Ali,6/28/2024 13:40,5,Baik
Ismi Dalifah,6/28/2024 8:03,5,"Terimakasih, untuk semakin canggih perlindungan terhadap nasabah .. agar nasabah aman dari . kejahatan bank"
Safariah Aceh,6/28/2024 6:55,5,Bank aceh ok
Albert Solo,6/27/2024 22:56,3,"Semoga ada fitur buat rekening di bank Aceh syariah , biar banyak yang tertarik menjadi nasabah . Sayangnya belum ada kantor cabangnya di Jawa Tengah maupun di Kantor cabangnya baru ada di Medan dan Jakarta , serta di Aceh . Perlu segera di update layanan mobile bankingnya."
Rosna M,6/27/2024 20:46,4,Bagus untuk berkhazanah Aceh
Ahmad Jasani,6/27/2024 17:11,5,Sangat membantu saya dalam berintaraksi dengan menggunakan aplikasi action mobile banking ini.
Suwardi Calang,6/27/2024 16:52,5,Mantap dan sukses selalu Bank Aceh Syariah
Ahmad Muhtar,6/27/2024 15:29,4,"Perintah aplikasi untuk uninstall, ketika uninstall malah lama banget.."
Cek Wan,6/26/2024 15:49,5,"Mantab, sangat membantu. Tapi maaf, kenapa sekarang agak susah di Buka Action Bank Aceh. Mohon petunjuk"
Ros Diana,6/26/2024 7:07,4,Bagus.
Yuli Wahyuna,6/24/2024 1:55,5,Bagus
Anshar Mca,6/22/2024 16:18,3,Ganti perangkat kenapa tetap error apa harus tetap ke bank terdekat?
Armand Ghifary,6/21/2024 7:45,5,Sangat bermanfaat
M. Ramadi,6/21/2024 0:09,4,Pelayanan yang ramah
Tgk Albayani,6/16/2024 9:26,5,Bagus sekali!
Axlerod Gaming PlayStation,6/15/2024 8:05,2,"Sistem yang menurut saya sangat tidak efektif di era digital sekarang ini untuk menggunakan fitur lupa username , mpin, dan password tidak bisa langsung digunakan bahkan udah isi data dengan betul2 keluar notifikasi data tidak ditemukan, apanya yg tidak ditemukan nomor ATM di depan mata layanan pelanggan dibilang data tidak ditemukan. Baru setingkat bank provinsi aja susah kali bikin sistem OTP, mau aja kalah sama bank nasional lucu kali sistem nya, suka kali bikin masyarakat antri ke bank"
Mus Takim,6/14/2024 22:29,5,Bagus
Abd Rauf,6/14/2024 14:07,5,"Sangat Bagus, Mohon Di Tingkatkan Lagi"
Maulida Fitri,6/14/2024 10:50,5,Terimakasih Mohon Di Tingkatkan Lagi
Nikmah Daling Nikmah Daling,6/14/2024 8:45,5,Aplikasi sangat berguna
Dea Hafnizar,6/13/2024 13:10,4,Sangat2 Berguna dan Solusi Terbaik Dengan Sistem Tarik Tanpa Kartu Sangat2 Mempermudah Walapun Tanpa Kartu. Terimakasih Bank Aceh Semoga Smakin Jaya dan Semakin Melahirkan Kacanggihan Yg Lebih Bermanfaat Lagi...
Sopiah Takengon,6/12/2024 9:34,5,Semoga Tambah Berkembang dan Bersaing Dengan Bank Lain Terimakasih â˜º
Aceh Tamiang,6/10/2024 20:11,1,sudah selesai di download tapi kok gak bisaÂ² terbuka aplikasi nya..?
CHARLIE Jr PURBA,6/10/2024 0:03,3,Daftar riwayat Transaksi masuk kenapa gak bisa dilihat ya? Gimana caranya ? Pusing menggunakannya.
roswita yacob,6/9/2024 20:06,5,OK
Anas Mudawar,6/7/2024 16:37,3,Setelah tukar hp data saya tidak bisa login
salam pemula,6/7/2024 1:40,1,Tambahkan metode daftar rekening baru bisa melalui action mobile atau secara online ... Supaya lebih mudah bagi yang ingin membuka tabungan baru di bank aceh..
eka dariwulan,6/6/2024 12:19,5,Bank aceh terdepan dan terpercaya
