userName,at,score,content,polarity_score,sentiment,content_stopwords,tokenized_stemmed,cleaned_tokenized_stemmed
Enggome Laturang,6/29/2024 22:23,5,bagus dan kalau bisa transfer ke bank lain biayanya lebih murah jangan sampai  agar bisa bersaing dengan bank lain aplikasi sudah lumayan bagus dan bisa di tingkatkan lagi nominal isi pulsa dikurangi lagi jangan hanya  ribu yang terkecil maunya ada       dan lain lain,-43,NEGATIVE,bagus kalau transfer bank biayanya lebih murah jangan  bisa bersaing bank aplikasi lumayan bagus bisa tingkatkan nominal isi pulsa dikurangi jangan  ribu terkecil maunya       lain,"['bagus', 'transfer', 'bank', 'biaya', 'murah', 'saing', 'bank', 'aplikasi', 'lumayan', 'bagus', 'tingkat', 'nominal', 'isi', 'pulsa', 'rang', 'ribu', 'kecil', 'mau']",bagus transfer bank biaya murah saing bank aplikasi lumayan bagus tingkat nominal isi pulsa rang ribu kecil mau
Fahrol Roxi,6/29/2024 1:45,2,aku mengapa nggak bisa daftar sendiri ya apa harus daftar gmail dulu di bank aceh  soalnya saat buat kartu atm kemarin nggak di minta gmail saya mohon penjelasannya,-18,NEGATIVE,aku daftar sendiri apa daftar gmail dulu bank aceh  soalnya buat kartu atm kemarin nggak di minta gmail mohon penjelasannya,"['daftar', 'daftar', 'gmail', 'bank', 'aceh', 'kartu', 'atm', 'kemarin', 'nggak', 'gmail', 'mohon', 'jelas']",daftar daftar gmail bank aceh kartu atm kemarin nggak gmail mohon jelas
Ismi Dalifah,6/28/2024 8:03,5,terimakasih untuk semakin canggih perlindungan terhadap nasabah agar nasabah aman dari kejahatan bank,8,POSITIVE,terimakasih semakin canggih perlindungan nasabah nasabah aman kejahatan bank,"['terimakasih', 'canggih', 'lindung', 'nasabah', 'nasabah', 'aman', 'jahat', 'bank']",terimakasih canggih lindung nasabah nasabah aman jahat bank
Albert Solo,6/27/2024 22:56,3,semoga ada fitur buat rekening di bank aceh syariah agar banyak yang tertarik menjadi nasabah sayangnya belum ada kantor cabangnya di jawa tengah maupun di kantor cabangnya baru ada di medan dan jakarta serta di aceh perlu segera di perbaharui layanan mobile bankingnya,9,POSITIVE,semoga fitur buat rekening bank aceh syariah banyak tertarik menjadi nasabah sayangnya kantor cabangnya jawa tengah maupun kantor cabangnya baru ada medan jakarta di aceh perlu segera di perbaharui layanan mobile bankingnya,"['moga', 'fitur', 'rekening', 'bank', 'aceh', 'syariah', 'tarik', 'nasabah', 'sayang', 'kantor', 'cabang', 'jawa', 'kantor', 'cabang', 'medan', 'jakarta', 'aceh', 'baharu', 'layan', 'mobile', 'bankingnya']",moga fitur rekening bank aceh syariah tarik nasabah sayang kantor cabang jawa kantor cabang medan jakarta aceh baharu layan mobile bankingnya
Rosna M,6/27/2024 20:46,4,bagus untuk berkhazanah aceh,2,POSITIVE,bagus berkhazanah aceh,"['bagus', 'khazanah', 'aceh']",bagus khazanah aceh
Ahmad Jasani,6/27/2024 17:11,5,sangat membantu saya dalam berintaraksi dengan menggunakan aplikasi action mobile banking ini,-3,NEGATIVE,sangat membantu dalam berintaraksi menggunakan aplikasi action mobile banking,"['bantu', 'berintaraksi', 'aplikasi', 'action', 'mobile', 'banking']",bantu berintaraksi aplikasi action mobile banking
Suwardi Calang,6/27/2024 16:52,5,mantap dan sukses selalu bank aceh syariah,8,POSITIVE,mantap sukses selalu bank aceh syariah,"['mantap', 'sukses', 'bank', 'aceh', 'syariah']",mantap sukses bank aceh syariah
Ahmad Muhtar,6/27/2024 15:29,4,perintah aplikasi untuk uninstall ketika uninstall malah lama banget,-4,NEGATIVE,perintah aplikasi uninstall uninstall malah lama banget,"['perintah', 'aplikasi', 'uninstall', 'uninstall', 'banget']",perintah aplikasi uninstall uninstall banget
Cek Wan,6/26/2024 15:49,5,mantab sangat membantu tapi maaf kenapa sekarang agak susah di buka action bank aceh mohon petunjuk,-6,NEGATIVE,mantab sangat membantu maaf sekarang susah buka action bank aceh mohon petunjuk,"['mantab', 'bantu', 'maaf', 'susah', 'buka', 'action', 'bank', 'aceh', 'mohon', 'tunjuk']",mantab bantu maaf susah buka action bank aceh mohon tunjuk
Anshar Mca,6/22/2024 16:18,3,ganti perangkat kenapa tetap eror apa harus tetap ke bank terdekat,-5,NEGATIVE,ganti perangkat tetap eror apa tetap bank terdekat,"['ganti', 'perangkat', 'eror', 'bank', 'dekat']",ganti perangkat eror bank dekat
Axlerod Gaming PlayStation,6/15/2024 8:05,2,sistem yang menurut saya sangat tidak efektif di era digital sekarang ini untuk menggunakan fitur lupa username mpin dan password tidak bisa langsung digunakan bahkan sudah isi data dengan betul keluar notifikasi data tidak ditemukan apanya yang tidak ditemukan nomor atm di depan mata layanan pelanggan dibilang data tidak ditemukan baru setingkat bank provinsi saja susah kali buat sistem otp mau saja kalah sama bank nasional lucu kali sistem  suka kali buat masyarakat antri ke bank,-57,NEGATIVE,sistem menurut sangat efektif era digital sekarang untuk menggunakan fitur lupa username mpin password bisa langsung digunakan bahkan isi data betul keluar notifikasi data ditemukan apanya ditemukan nomor atm depan mata layanan pelanggan dibilang data tidak ditemukan baru setingkat bank provinsi susah kali buat sistem otp mau kalah sama bank nasional lucu kali sistem  suka kali buat masyarakat antri bank,"['sistem', 'efektif', 'era', 'digital', 'fitur', 'lupa', 'username', 'mpin', 'password', 'langsung', 'isi', 'data', 'notifikasi', 'data', 'temu', 'apa', 'temu', 'nomor', 'atm', 'mata', 'layan', 'langgan', 'bilang', 'data', 'temu', 'tingkat', 'bank', 'provinsi', 'susah', 'kali', 'sistem', 'otp', 'kalah', 'bank', 'nasional', 'lucu', 'kali', 'sistem', 'suka', 'kali', 'masyarakat', 'antri', 'bank']",sistem efektif era digital fitur lupa username mpin password langsung isi data notifikasi data temu apa temu nomor atm mata layan langgan bilang data temu tingkat bank provinsi susah kali sistem otp kalah bank nasional lucu kali sistem suka kali masyarakat antri bank
Abd Rauf,6/14/2024 14:07,5,sangat bagus mohon di tingkatkan lagi,-3,NEGATIVE,sangat bagus mohon tingkatkan,"['bagus', 'mohon', 'tingkat']",bagus mohon tingkat
Maulida Fitri,6/14/2024 10:50,5,terimakasih mohon di tingkatkan lagi,1,POSITIVE,terimakasih mohon tingkatkan,"['terimakasih', 'mohon', 'tingkat']",terimakasih mohon tingkat
Dea Hafnizar,6/13/2024 13:10,4,sangat berguna dan solusi terbaik dengan sistem tarik tanpa kartu sangat mempermudah walapun tanpa kartu terimakasih bank aceh semoga smakin jaya dan semakin melahirkan kacanggihan yang lebih bermanfaat lagi,15,POSITIVE,sangat berguna solusi terbaik sistem tarik kartu sangat mempermudah walapun kartu terimakasih bank aceh semoga smakin jaya semakin melahirkan kacanggihan lebih bermanfaat,"['guna', 'solusi', 'baik', 'sistem', 'tarik', 'kartu', 'mudah', 'walapun', 'kartu', 'terimakasih', 'bank', 'aceh', 'moga', 'smakin', 'jaya', 'lahir', 'kacanggihan', 'manfaat']",guna solusi baik sistem tarik kartu mudah walapun kartu terimakasih bank aceh moga smakin jaya lahir kacanggihan manfaat
Sopiah Takengon,6/12/2024 9:34,5,semoga tambah berkembang dan bersaing dengan bank lain terimakasih,3,POSITIVE,semoga tambah berkembang bersaing bank terimakasih,"['moga', 'kembang', 'saing', 'bank', 'terimakasih']",moga kembang saing bank terimakasih
Aceh Tamiang,6/10/2024 20:11,1,sudah selesai di unduh tapi mengapa nggak bisa terbuka aplikasi,-4,NEGATIVE,selesai unduh mengapa bisa terbuka aplikasi,"['selesai', 'unduh', 'buka', 'aplikasi']",selesai unduh buka aplikasi
